,1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,product_id,review_count
0,0,0,0,5,10,4.7,2268274,15 reviews
1,28,34,53,210,535,4.4,2257111,860 reviews
2,"1,139","1,279","1,324","2,145","8,373",4.1,2164671,"14,260 reviews"
3,0,9,21,106,207,4.5,2242105,343 reviews
4,213,257,299,836,"3,758",4.4,2112167,"5,363 reviews"
5,136,194,231,473,"1,843",4.3,2079168,"2,877 reviews"
6,1,8,19,84,205,4.5,2250603,317 reviews
7,14,11,20,74,202,4.4,2251874,321 reviews
8,940,789,935,"2,134","4,768",3.9,2246726,"9,566 reviews"
9,266,323,319,608,"1,779",4,1868165,"3,295 reviews"
10,5,13,37,180,389,4.5,2247203,624 reviews
11,514,461,695,"2,735","15,008",4.6,1922541,"19,413 reviews"
12,44,55,67,158,386,4.1,2184547,710 reviews
13,31,24,48,151,347,4.3,2209906,601 reviews
14,801,925,990,"1,621","4,087",3.9,2084648,"8,424 reviews"
15,186,222,295,786,"3,067",4.4,2169845,"4,556 reviews"
16,66,72,96,231,742,4.3,2247922,"1,207 reviews"
17,151,174,227,628,"2,463",4.4,2224848,"3,643 reviews"
18,379,382,296,429,"1,252",3.7,2031011,"2,738 reviews"
19,66,72,144,378,"1,027",4.3,2070571,"1,687 reviews"
20,283,276,309,615,"1,631",4,2176972,"3,114 reviews"
21,286,350,373,650,"1,624",3.9,2179158,"3,283 reviews"
22,199,261,356,"1,197","3,130",4.3,905364,"5,143 reviews"
23,"1,304","1,316","1,513","2,747","7,135",3.9,2180578,"14,015 reviews"
24,397,392,320,446,"1,260",3.6,2001774,"2,815 reviews"
25,506,571,611,"1,258","3,485",4,2094787,"6,431 reviews"
26,57,54,62,127,404,4.1,2241883,704 reviews
27,231,262,390,"1,080","2,710",4.2,2170645,"4,673 reviews"
28,94,139,177,494,"1,826",4.4,1396399,"2,730 reviews"
29,49,42,65,73,232,3.9,2032845,461 reviews
30,82,113,116,259,462,3.9,2088276,"1,032 reviews"
31,310,345,510,"1,513","5,095",4.4,1922731,"7,773 reviews"
32,47,56,87,192,545,4.2,1787571,927 reviews
33,89,80,118,439,"1,272",4.4,1507367,"1,998 reviews"
34,45,40,39,117,418,4.2,1530534,659 reviews
35,153,175,239,613,"2,041",4.3,2203396,"3,221 reviews"
36,279,275,373,822,"1,750",4,2222099,"3,499 reviews"
37,26,38,46,103,400,4.3,1628767,613 reviews
38,177,85,86,191,398,3.6,2106441,937 reviews
39,1,3,6,51,102,4.5,2250280,163 reviews
40,196,219,264,484,"1,374",4,1713155,"2,537 reviews"
41,0,1,0,2,10,4.6,2239358,13 reviews
42,19,29,74,255,516,4.4,2178630,893 reviews
43,146,167,241,533,"1,653",4.2,1327915,"2,740 reviews"
44,93,95,164,310,768,4.1,2053874,"1,430 reviews"
45,67,54,70,94,265,3.8,1869015,550 reviews
46,101,108,160,543,"1,252",4.3,2241651,"2,164 reviews"
47,455,440,593,"1,496","3,029",4,1827252,"6,013 reviews"
48,167,232,248,586,"2,107",4.3,1486752,"3,340 reviews"
49,61,53,65,184,734,4.3,135558,"1,097 reviews"
50,185,186,202,524,"1,720",4.2,2105427,"2,817 reviews"
51,52,57,138,343,438,4,2179869,"1,028 reviews"
52,651,526,407,573,"1,326",3.4,1847474,"3,483 reviews"
53,129,146,201,457,"1,008",4.1,2110070,"1,941 reviews"
54,81,85,114,196,573,4,1496488,"1,049 reviews"
55,48,43,42,44,196,3.8,2250785,373 reviews
56,93,56,62,71,317,3.8,2209393,599 reviews
57,51,48,95,318,816,4.4,51573,"1,328 reviews"
58,666,608,484,747,"1,718",3.5,1677962,"4,223 reviews"
59,266,323,319,608,"1,779",4,1868165,"3,295 reviews"
60,283,276,309,615,"1,631",4,2176972,"3,114 reviews"
61,82,113,116,259,462,3.9,2088276,"1,032 reviews"
62,26,38,46,103,400,4.3,1628767,613 reviews
63,146,167,241,533,"1,653",4.2,1327915,"2,740 reviews"
64,67,54,70,94,265,3.8,1869015,550 reviews
65,167,232,248,586,"2,107",4.3,1486752,"3,340 reviews"
66,81,85,114,196,573,4,1496488,"1,049 reviews"
67,38,50,51,88,334,4.1,1888197,561 reviews
68,35,31,22,32,110,3.7,2227619,230 reviews
69,113,121,139,241,778,4,1826437,"1,392 reviews"
70,107,158,198,548,"1,449",4.2,759779,"2,460 reviews"
71,259,272,322,735,"1,683",4,1574896,"3,271 reviews"
72,80,85,71,152,348,3.8,1509512,736 reviews
73,68,55,69,144,332,3.9,1458496,668 reviews
74,6,7,9,20,74,4.3,2145340,116 reviews
75,18,23,35,68,160,4.1,1576859,304 reviews
76,97,108,99,240,531,3.9,1497007,"1,075 reviews"
77,12,15,19,41,191,4.4,1705839,278 reviews
78,18,27,37,56,182,4.1,2204857,320 reviews
79,0,0,0,0,5,5,2078574,5 reviews
80,41,45,55,127,371,4.2,1677160,639 reviews
81,29,25,52,127,336,4.3,1626969,569 reviews
82,19,16,17,29,90,3.9,1819549,171 reviews
83,0,3,2,2,6,3.8,2219673,13 reviews
84,2,0,0,4,16,4.5,2154649,22 reviews
85,3,4,6,6,12,3.6,1989565,31 reviews
86,10,8,14,14,32,3.6,2168409,78 reviews
87,60,34,28,45,116,3.4,1548700,283 reviews
88,2,11,7,19,58,4.2,1509348,97 reviews
89,80,124,146,311,825,4.1,1422617,"1,486 reviews"
90,32,13,12,17,47,3.3,2025617,121 reviews
91,65,86,93,159,353,3.9,1417302,756 reviews
92,1,8,19,84,205,4.5,2250603,317 reviews
93,266,323,319,608,"1,779",4,1868165,"3,295 reviews"
94,283,276,309,615,"1,631",4,2176972,"3,114 reviews"
95,199,261,356,"1,197","3,130",4.3,905364,"5,143 reviews"
96,94,139,177,494,"1,826",4.4,1396399,"2,730 reviews"
97,26,38,46,103,400,4.3,1628767,613 reviews
98,1,3,6,51,102,4.5,2250280,163 reviews
99,146,167,241,533,"1,653",4.2,1327915,"2,740 reviews"
100,67,54,70,94,265,3.8,1869015,550 reviews
101,167,232,248,586,"2,107",4.3,1486752,"3,340 reviews"
102,81,85,114,196,573,4,1496488,"1,049 reviews"
103,48,43,42,44,196,3.8,2250785,373 reviews
104,38,50,51,88,334,4.1,1888197,561 reviews
105,35,31,22,32,110,3.7,2227619,230 reviews
106,107,158,198,548,"1,449",4.2,759779,"2,460 reviews"
107,259,272,322,735,"1,683",4,1574896,"3,271 reviews"
108,80,85,71,152,348,3.8,1509512,736 reviews
109,68,55,69,144,332,3.9,1458496,668 reviews
110,18,23,35,68,160,4.1,1576859,304 reviews
111,16,22,46,116,298,4.3,2038701,498 reviews
112,97,108,99,240,531,3.9,1497007,"1,075 reviews"
113,65,74,152,321,879,4.3,2211902,"1,491 reviews"
114,12,15,19,41,191,4.4,1705839,278 reviews
115,13,18,19,51,203,4.4,1507615,304 reviews
116,18,27,37,56,182,4.1,2204857,320 reviews
117,41,45,55,127,371,4.2,1677160,639 reviews
118,19,16,17,29,90,3.9,1819549,171 reviews
119,4,4,3,0,24,4,1993849,35 reviews
120,16,38,44,75,93,3.7,2079416,266 reviews
121,0,3,2,2,6,3.8,2219673,13 reviews
122,1,2,1,4,6,3.9,2199552,14 reviews
123,2,4,4,5,7,3.5,2119345,22 reviews
124,12,15,16,34,83,4,1898485,160 reviews
125,161,162,156,377,846,3.9,2211845,"1,702 reviews"
126,10,8,14,14,32,3.6,2168409,78 reviews
127,15,30,30,40,141,4,1958263,256 reviews
128,5,11,12,14,63,4.1,1676980,105 reviews
129,4,8,4,9,23,3.8,1809235,48 reviews
130,0,1,1,3,12,4.5,1468131,17 reviews
131,60,34,28,45,116,3.4,1548700,283 reviews
132,2,3,2,3,13,4,1901552,23 reviews
133,2,2,6,4,9,3.7,1950328,23 reviews
134,2,11,7,19,58,4.2,1509348,97 reviews
135,80,124,146,311,825,4.1,1422617,"1,486 reviews"
136,65,86,93,159,353,3.9,1417302,756 reviews
137,461,604,877,"2,183","6,940",4.3,2172310,"11,065 reviews"
138,62,92,116,229,816,4.3,1925577,"1,315 reviews"
139,98,104,148,341,"1,458",4.4,2223089,"2,149 reviews"
140,63,112,156,298,729,4.1,1925841,"1,358 reviews"
141,261,172,125,149,338,3.1,2094548,"1,045 reviews"
142,111,144,133,210,663,3.9,2173367,"1,261 reviews"
143,56,71,111,308,"1,206",4.4,1900315,"1,752 reviews"
144,111,119,164,357,984,4.1,2037596,"1,735 reviews"
145,2,1,0,1,15,4.4,2247450,19 reviews
146,25,16,28,92,330,4.4,2137834,491 reviews
147,191,206,303,"1,055","2,999",4.4,1247204,"4,754 reviews"
148,163,206,350,770,"2,686",4.3,2209344,"4,175 reviews"
149,190,214,357,"1,117","2,634",4.3,1810787,"4,512 reviews"
150,33,36,90,382,"1,058",4.5,2044477,"1,599 reviews"
151,10,19,27,35,66,3.8,2136521,157 reviews
152,17,34,52,173,347,4.3,2246841,623 reviews
153,31,29,30,73,269,4.2,1833532,432 reviews
154,158,216,323,677,"1,150",4,1686211,"2,524 reviews"
155,55,61,89,317,811,4.3,1317650,"1,333 reviews"
156,4,9,13,50,88,4.3,2209211,164 reviews
157,14,18,27,56,208,4.3,2103596,323 reviews
158,10,0,4,6,9,3.1,2252179,29 reviews
159,52,52,66,69,303,4,2113934,542 reviews
160,245,279,269,523,990,3.8,2166825,"2,306 reviews"
161,44,64,80,180,456,4.1,1727338,824 reviews
162,126,85,100,246,842,4.1,2199370,"1,399 reviews"
163,13,41,188,777,"1,025",4.4,2040871,"2,044 reviews"
164,49,47,41,82,305,4,1697440,524 reviews
165,135,132,213,373,618,3.8,1779099,"1,471 reviews"
166,241,316,443,"1,150","2,653",4.2,2086866,"4,803 reviews"
167,85,107,161,482,"1,181",4.3,870519,"2,016 reviews"
168,104,121,151,395,755,4,1345206,"1,526 reviews"
169,7,9,48,179,480,4.5,2184323,723 reviews
170,61,59,73,156,347,4,1600162,696 reviews
171,6,27,25,64,175,4.3,2228443,297 reviews
172,127,157,216,677,"2,994",4.5,1073063,"4,171 reviews"
173,53,43,50,49,141,3.5,2037778,336 reviews
174,17,19,26,33,114,4,2152668,209 reviews
175,39,29,61,90,197,3.9,2118115,416 reviews
176,15,6,35,195,392,4.5,2176444,643 reviews
177,58,70,67,117,224,3.7,1317775,536 reviews
178,122,137,133,387,996,4.1,1307370,"1,775 reviews"
179,12,11,34,96,302,4.5,549170,455 reviews
180,1,3,3,5,13,4,2034775,25 reviews
181,4,5,5,5,39,4.2,1897123,58 reviews
182,29,25,52,127,336,4.3,1626969,569 reviews
183,159,149,174,269,524,3.7,1833888,"1,275 reviews"
184,10,11,15,68,189,4.4,2102135,293 reviews
185,0,0,0,1,0,4,2228278,1 review
186,26,28,51,103,156,3.9,2029353,364 reviews
187,154,150,184,420,839,3.9,2086809,"1,747 reviews"
188,9,12,13,45,114,4.3,2105690,193 reviews
189,14,12,11,24,66,3.9,1960079,127 reviews
190,5,17,43,137,123,4.1,2196871,325 reviews
191,35,49,80,213,323,4.1,472597,700 reviews
192,34,51,63,121,288,4,1887447,557 reviews
193,34,45,79,194,548,4.3,2194009,900 reviews
194,24,53,145,481,618,4.2,2169860,"1,321 reviews"
195,18,17,28,58,185,4.2,2105799,306 reviews
196,41,40,45,85,242,4,1885631,453 reviews
197,22,14,14,24,63,3.7,1349968,137 reviews
198,0,1,0,2,10,4.6,2239358,13 reviews
199,465,304,303,507,"1,309",3.7,1669027,"2,888 reviews"
200,167,232,248,586,"2,107",4.3,1486752,"3,340 reviews"
201,112,131,156,485,"1,341",4.3,1147883,"2,225 reviews"
202,22,14,14,24,63,3.7,1350024,137 reviews
203,18,23,35,68,160,4.1,1576859,304 reviews
204,22,14,14,24,63,3.7,1635606,137 reviews
205,22,14,14,24,63,3.7,1681303,137 reviews
206,22,14,14,24,63,3.7,1349976,137 reviews
207,2,4,6,6,17,3.9,1958859,35 reviews
208,22,14,14,24,63,3.7,1974252,137 reviews
209,254,290,378,"1,158","5,701",4.5,870618,"7,781 reviews"
210,21,16,20,36,176,4.2,1914472,269 reviews
211,24,31,40,70,270,4.2,2116341,435 reviews
212,11,10,8,37,211,4.5,1661461,277 reviews
213,51,63,74,150,611,4.3,2173607,949 reviews
214,39,37,70,223,"1,074",4.6,2071769,"1,443 reviews"
215,54,48,54,99,425,4.2,2114072,680 reviews
216,153,181,212,458,"1,910",4.3,1483502,"2,914 reviews"
217,62,28,23,37,165,3.7,1911395,315 reviews
218,148,185,286,862,"4,306",4.6,1073014,"5,787 reviews"
219,4,6,1,2,9,3.3,2271138,22 reviews
220,35,31,22,32,110,3.7,2227619,230 reviews
221,41,50,82,295,795,4.4,1372168,"1,263 reviews"
222,33,43,80,160,"1,039",4.6,2203446,"1,355 reviews"
223,25,24,44,155,532,4.5,1889963,780 reviews
224,12,27,18,30,98,3.9,1911353,185 reviews
225,81,70,108,232,740,4.2,870675,"1,231 reviews"
226,0,1,3,2,12,4.4,1927227,18 reviews
227,51,63,74,150,611,4.3,2211126,949 reviews
228,69,93,125,281,"1,107",4.4,1606086,"1,675 reviews"
229,138,113,184,522,"1,436",4.3,1822204,"2,393 reviews"
230,19,35,43,171,392,4.3,51904,660 reviews
231,63,77,148,605,"2,468",4.6,1164771,"3,361 reviews"
232,65,55,81,281,"1,098",4.5,999037,"1,580 reviews"
233,69,61,64,99,108,3.3,2042836,401 reviews
234,75,78,123,314,918,4.3,2037554,"1,508 reviews"
235,19,12,18,51,100,4,1727379,200 reviews
236,36,43,69,306,894,4.5,2107811,"1,348 reviews"
237,40,61,93,210,527,4.2,1659515,931 reviews
238,36,38,46,83,277,4.1,1478239,480 reviews
239,1,3,6,2,21,4.2,2107852,33 reviews
240,3,8,5,18,82,4.4,1899251,116 reviews
241,22,14,14,24,63,3.7,1681303,137 reviews
242,29,18,51,117,712,4.6,1522184,927 reviews
243,14,23,44,149,360,4.4,51532,590 reviews
244,36,25,26,48,209,4.1,1883677,344 reviews
245,19,29,47,234,419,4.3,2117984,748 reviews
246,30,23,32,66,304,4.3,1961135,455 reviews
247,38,43,64,120,390,4.2,1578285,655 reviews
248,42,44,68,127,329,4.1,1533629,610 reviews
249,42,41,60,163,642,4.4,1229095,948 reviews
250,27,37,59,119,785,4.6,2113033,"1,027 reviews"
251,66,77,131,375,"2,561",4.6,2211076,"3,210 reviews"
