,biExclusiveLevel,brand_name,category,imageAltText,isAppExclusive,isBI,isBest,isFirstAccess,isLimitedEdition,isLimitedTimeOffer,isNatural,isNew,isOnlineOnly,isOrganic,isSephoraExclusive,listPrice,salePrice,skuId,skuType,valuePrice
0,none,FENTY BEAUTY by Rihanna,/shop/foundation-makeup,FENTY BEAUTY by Rihanna - Pro Filt'r Hydrating Longwear Foundation,False,False,False,False,False,False,False,True,True,False,True,$35.00,,2268274,Standard,
1,none,PAT McGRATH LABS,/shop/foundation-makeup,PAT McGRATH LABS - Skin Fetish: Sublime Perfection Foundation,False,False,False,False,False,False,False,True,False,False,True,$68.00,,2257111,Standard,
2,none,FENTY BEAUTY by Rihanna,/shop/foundation-makeup,FENTY BEAUTY by Rihanna - Pro Filt'r Soft Matte Longwear Foundation,False,False,False,False,False,False,False,False,False,False,True,$35.00,,2164671,Standard,
3,none,MILK MAKEUP,/shop/foundation-makeup,MILK MAKEUP - Flex Foundation Stick,False,False,False,False,False,False,False,True,False,False,True,$36.00,,2242105,Standard,
4,none,Estée Lauder,/shop/foundation-makeup,Estée Lauder - Double Wear Stay-in-Place Foundation,False,False,False,False,False,False,False,False,False,False,False,$43.00,,2112167,Standard,
5,none,Giorgio Armani Beauty,/shop/foundation-makeup,Giorgio Armani Beauty - Luminous Silk Foundation,False,False,False,False,False,False,False,False,False,False,False,$42.00 - $64.00,,2079168,Standard,
6,none,Laura Mercier,/shop/foundation-makeup,Laura Mercier - Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,False,False,False,False,False,False,False,True,False,False,True,$24.00 - $47.00,,2250603,Standard,
7,none,Smashbox,/shop/foundation-makeup,Smashbox - Studio Skin Full Coverage 24 Hour Foundation,False,False,False,False,False,False,False,True,False,False,True,$36.00,,2251874,Standard,
8,none,MAKE UP FOR EVER,/shop/foundation-makeup,MAKE UP FOR EVER - Ultra HD Invisible Cover Foundation,False,False,False,False,False,False,False,True,False,False,True,$43.00,,2246726,Standard,
9,none,IT Cosmetics,/shop/foundation-makeup,IT Cosmetics - CC+ Cream with SPF 50+,False,False,False,False,False,False,False,False,False,False,False,$15.00 - $39.00,,1868165,Standard,
10,none,Yves Saint Laurent,/shop/foundation-makeup,Yves Saint Laurent - All Hours Longwear Natural Matte Foundation,False,False,False,False,False,False,False,True,False,False,False,$54.00,,2247922,Standard,
11,none,Giorgio Armani Beauty,/shop/foundation-makeup,Giorgio Armani Beauty - Power Fabric Longwear High Cover Foundation SPF 25,False,False,False,False,False,False,False,False,False,False,False,$64.00,,2184547,Standard,
12,none,bareMinerals,/shop/foundation-makeup,bareMinerals - Original Loose Powder Mineral Foundation Broad Spectrum SPF 15,False,False,False,False,False,False,False,False,False,False,False,$31.00,,1922541,Standard,
13,none,Urban Decay,/shop/foundation-makeup,Urban Decay - Stay Naked Weightless Foundation,False,False,False,False,False,False,False,True,False,False,False,$39.00,,2247203,Standard,
14,none,MAKE UP FOR EVER,/shop/foundation-makeup,MAKE UP FOR EVER - Matte Velvet Skin Blurring Powder Foundation,False,False,False,False,False,False,False,False,False,False,True,$38.00,,2209906,Standard,
15,none,Lancôme,/shop/foundation-makeup,Lancôme - Teint Idole Ultra Long Wear Foundation,False,False,False,False,False,False,False,False,False,False,False,$47.00,,2169845,Standard,
16,none,Too Faced,/shop/foundation-makeup,Too Faced - Born This Way Foundation,False,False,False,False,False,False,False,False,False,False,False,$39.00,,2084648,Standard,
17,none,Dior,/shop/foundation-makeup,Dior - Dior Airflash Spray Foundation,False,False,False,False,False,False,False,False,False,False,False,$62.00,,2224848,Standard,
18,none,NARS,/shop/foundation-makeup,NARS - Natural Radiant Longwear Foundation,False,False,False,False,False,False,False,False,False,False,False,$49.00,,2031011,Standard,
19,none,Dior,/shop/foundation-makeup,Dior - BACKSTAGE Face & Body Foundation,False,False,False,False,False,False,False,False,False,False,True,$40.00,,2070571,Standard,
20,none,tarte,/shop/foundation-makeup,tarte - Water Foundation Broad Spectrum SPF 15 - Sea Collection,False,False,False,False,False,False,False,False,False,False,True,$39.00,,2179158,Standard,
21,none,bareMinerals,/shop/foundation-makeup,bareMinerals - COMPLEXION RESCUE™ Tinted Moisturizer Broad Spectrum SPF 30,False,False,False,False,False,False,False,False,False,False,False,$32.00,,2176972,Standard,
22,none,Kat Von D,/shop/foundation-makeup,Kat Von D - Lock-It Foundation,False,False,False,False,False,False,False,False,False,False,True,$18.00 - $36.00,,2180578,Standard,
23,none,Laura Mercier,/shop/foundation-makeup,Laura Mercier - Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free,False,False,False,False,False,False,False,False,False,False,False,$46.00,,905364,Standard,
24,none,HUDA BEAUTY,/shop/foundation-makeup,HUDA BEAUTY - #FauxFilter Foundation,False,False,False,False,False,False,False,False,False,False,True,$40.00,,2001774,Standard,
25,none,tarte,/shop/foundation-makeup,tarte - Amazonian Clay Full Coverage Foundation SPF 15,False,False,False,False,False,False,False,False,False,False,False,$39.00,,2094787,Standard,
26,none,bareMinerals,/shop/foundation-makeup,bareMinerals - BAREPRO Performance Wear Powder Foundation,False,False,False,False,False,False,False,False,False,False,False,$31.00,,2241883,Standard,
27,none,NARS,/shop/foundation-makeup,NARS - Sheer Glow Foundation,False,False,False,False,False,False,False,False,False,False,True,$47.00,,2170645,Standard,
28,none,NARS,/shop/foundation-makeup,NARS - Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,False,False,False,False,False,False,False,False,False,False,False,$45.00,,1396399,Standard,
29,none,Bobbi Brown,/shop/foundation-makeup,Bobbi Brown - Skin Long-Wear Weightless Foundation SPF 15,False,False,False,False,False,False,False,False,False,False,False,$47.00,,2032845,Standard,
30,none,bareMinerals,/shop/foundation-makeup,bareMinerals - Matte Loose Powder Mineral Foundation Broad Spectrum SPF 15,False,False,False,False,False,False,False,False,False,False,False,$31.00,,1922731,Standard,
31,none,IT Cosmetics,/shop/foundation-makeup,IT Cosmetics - CC+ Cream Oil-Free Matte with SPF 40,False,False,False,False,False,False,False,False,False,False,True,$39.00,,2088276,Standard,
32,none,SEPHORA COLLECTION,/shop/foundation-makeup,SEPHORA COLLECTION - Matte Perfection Powder Foundation,False,False,False,False,False,False,False,False,False,False,True,$20.00,,1787589,Standard,
33,none,SEPHORA COLLECTION,/shop/foundation-makeup,SEPHORA COLLECTION - Perfection Mist Airbrush Foundation,False,False,False,False,False,False,False,False,False,False,True,$28.00,,1507367,Standard,
34,none,Laura Mercier,/shop/foundation-makeup,Laura Mercier - Smooth Finish Foundation Powder,False,False,False,False,False,False,False,False,False,False,False,$48.00,,1530534,Standard,
35,none,tarte,/shop/foundation-makeup,tarte - Custom Foundation Value Set – Sea Collection,False,False,False,False,True,False,False,True,False,False,True,$39.00,,2261865,Standard,$71.00
36,none,SEPHORA COLLECTION,/shop/foundation-makeup,SEPHORA COLLECTION - 10 HR Wear Perfection Foundation,False,False,False,False,False,False,False,True,False,False,True,$20.00,,2222099,Standard,
37,none,Too Faced,/shop/foundation-makeup,Too Faced - Peach Perfect Comfort Matte Foundation – Peaches and Cream Collection,False,False,False,False,False,False,False,False,False,False,False,$36.00,,2203396,Standard,
38,none,Laura Mercier,/shop/foundation-makeup,Laura Mercier - Tinted Moisturizer Illuminating Natural Skin Perfector Broad Spectrum SPF 30,False,False,False,False,False,False,False,True,False,False,True,$47.00,,2250280,Standard,
39,none,La Mer,/shop/foundation-makeup,La Mer - The Luminous Lifting Cushion Foundation SPF 20 + Refill,False,False,False,False,False,False,False,False,False,False,False,$120.00,,2132231,Standard,
