,key_word,key_word_count,product_id
0,long wearing,"(1,165)",2112167
1,buildable coverage,(905),2112167
2,oil-free,(608),2112167
3,full coverage,(77),2112167
4,cakey,(26),2112167
5,matte,(26),2112167
6,flawless,(25),2112167
7,amazing,(16),2112167
8,matte finish,(13),2112167
9,natural finish,(11),2112167
10,heavy,(8),2112167
11,holy grail,(8),2112167
12,drying,(7),2112167
13,great coverage,(7),2112167
14,lightweight,(7),2112167
15,mattifying,(7),2112167
16,flawless finish,(5),2112167
17,perfect,(5),2112167
18,thick,(5),2112167
19,creamy,(4),2112167
20,light weight,(4),2112167
21,medium-full coverage,(4),2112167
22,natural looking,(4),2112167
23,transfer resistant,(4),2112167
24,dry,(3),2112167
25,flawless coverage,(3),2112167
26,great for oily skin,(3),2112167
27,oil controlling,(3),2112167
28,semi-matte,(3),2112167
29,smooth,(3),2112167
30,buildable coverage,(385),2079168
31,long wearing,(334),2079168
32,oil-free,(134),2079168
33,luminous,(22),2079168
34,lightweight,(17),2079168
35,natural,(14),2079168
36,dewy,(12),2079168
37,flawless,(12),2079168
38,radiant,(7),2079168
39,natural finish,(5),2079168
40,natural looking,(5),2079168
41,smooth,(5),2079168
42,light weight,(4),2079168
43,blendable,(3),2079168
44,flawless finish,(3),2079168
45,hydrating,(3),2079168
46,light,(3),2079168
47,light-weight,(3),2079168
48,moisturizing,(3),2079168
49,not long wearing,(3),2079168
50,sheer,(3),2079168
51,silky,(3),2079168
52,airbrushed,(2),2079168
53,breathable,(2),2079168
54,cakey,(2),2079168
55,creamy,(2),2079168
56,dewy finish,(2),2079168
57,drying,(2),2079168
58,easy to apply,(2),2079168
59,great for dry skin,(2),2079168
60,buildable coverage,"(1,416)",2246726
61,long wearing,"(1,308)",2246726
62,oil-free,(567),2246726
63,lightweight,(62),2246726
64,natural,(41),2246726
65,oily,(36),2246726
66,natural looking,(35),2246726
67,natural finish,(27),2246726
68,light weight,(24),2246726
69,flawless,(19),2246726
70,disappointing,(18),2246726
71,cakey,(17),2246726
72,drying,(17),2246726
73,medium coverage,(17),2246726
74,full coverage,(13),2246726
75,smooth,(13),2246726
76,flawless finish,(11),2246726
77,light-weight,(11),2246726
78,sheer,(11),2246726
79,blendable,(10),2246726
80,comfortable,(10),2246726
81,light coverage,(10),2246726
82,dewy finish,(8),2246726
83,natural-looking,(8),2246726
84,hydrating,(7),2246726
85,matte,(7),2246726
86,not long wearing,(7),2246726
87,streaky,(7),2246726
88,watery,(7),2246726
89,easy to blend,(6),2246726
