,1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,product_id,review_count
0,0,0,0,5,11,4.7,2268274,16 reviews
1,28,35,57,212,548,4.4,2257111,880 reviews
2,"1,139","1,279","1,324","2,149","8,379",4.1,2164671,"14,270 reviews"
3,1,10,23,115,214,4.5,2242105,363 reviews
4,213,258,299,837,"3,758",4.4,2112167,"5,365 reviews"
5,136,194,231,473,"1,845",4.3,2079168,"2,879 reviews"
6,3,8,19,93,212,4.5,2250603,335 reviews
7,14,11,20,74,203,4.4,2251874,322 reviews
8,940,791,935,"2,135","4,771",3.9,2246726,"9,572 reviews"
9,266,324,319,608,"1,779",4,1868165,"3,296 reviews"
10,66,72,96,231,742,4.3,2247922,"1,207 reviews"
11,44,55,67,158,387,4.1,2184547,711 reviews
12,514,461,695,"2,735","15,008",4.6,1922541,"19,413 reviews"
13,5,17,39,183,397,4.5,2247203,641 reviews
14,31,24,49,153,349,4.3,2209906,606 reviews
15,186,222,295,786,"3,068",4.4,2169845,"4,557 reviews"
16,801,925,990,"1,622","4,090",3.9,2084648,"8,428 reviews"
17,151,174,227,628,"2,463",4.4,2224848,"3,643 reviews"
18,379,382,297,429,"1,252",3.7,2031011,"2,739 reviews"
19,66,73,144,378,"1,029",4.3,2070571,"1,690 reviews"
20,286,350,373,650,"1,625",3.9,2179158,"3,284 reviews"
21,283,277,309,616,"1,633",4,2176972,"3,118 reviews"
22,"1,304","1,316","1,513","2,747","7,136",3.9,2180578,"14,016 reviews"
23,199,261,356,"1,197","3,130",4.3,905364,"5,143 reviews"
24,397,392,320,448,"1,261",3.6,2001774,"2,818 reviews"
25,506,572,611,"1,259","3,486",4,2094787,"6,434 reviews"
26,57,54,63,127,405,4.1,2241883,706 reviews
27,231,264,390,"1,080","2,713",4.2,2170645,"4,678 reviews"
28,94,139,179,495,"1,826",4.4,1396399,"2,733 reviews"
29,49,42,65,73,232,3.9,2032845,461 reviews
30,310,345,510,"1,513","5,095",4.4,1922731,"7,773 reviews"
31,82,113,116,260,464,3.9,2088276,"1,035 reviews"
32,47,56,88,192,547,4.2,1787589,930 reviews
33,90,80,118,439,"1,273",4.4,1507367,"2,000 reviews"
34,45,40,39,117,419,4.3,1530534,660 reviews
35,279,275,373,824,"1,754",4,2222099,"3,505 reviews"
36,153,176,239,613,"2,043",4.3,2203396,"3,224 reviews"
37,1,3,7,53,109,4.5,2250280,173 reviews
38,4,3,4,4,19,3.9,2132231,34 reviews
39,177,85,86,192,398,3.6,2106441,938 reviews
40,26,38,46,103,401,4.3,1628767,614 reviews
41,0,1,0,2,10,4.6,2239358,13 reviews
42,19,29,75,255,518,4.4,2178630,896 reviews
43,196,220,264,484,"1,374",4,1713155,"2,538 reviews"
44,168,232,248,586,"2,107",4.3,1486752,"3,341 reviews"
45,146,167,241,534,"1,655",4.2,1327915,"2,743 reviews"
46,93,95,164,310,769,4.1,2053874,"1,431 reviews"
47,455,440,593,"1,496","3,029",4,1827252,"6,013 reviews"
48,67,54,70,95,265,3.8,1869015,551 reviews
49,185,186,202,524,"1,720",4.2,2105427,"2,817 reviews"
50,101,108,160,544,"1,253",4.3,2241719,"2,166 reviews"
51,61,53,66,184,734,4.3,135558,"1,098 reviews"
52,93,56,62,71,317,3.8,2209393,599 reviews
53,51,48,95,318,816,4.4,51573,"1,328 reviews"
54,48,44,42,44,197,3.8,2250785,375 reviews
55,651,526,407,573,"1,327",3.4,1847474,"3,484 reviews"
56,81,85,114,196,573,4,1496488,"1,049 reviews"
57,54,57,138,343,439,4,2179869,"1,031 reviews"
58,666,608,484,747,"1,718",3.5,1677962,"4,223 reviews"
59,130,146,201,457,"1,008",4.1,2110070,"1,942 reviews"
60,41,50,83,296,796,4.4,1372168,"1,266 reviews"
61,35,31,22,32,110,3.7,2227619,230 reviews
62,115,130,249,618,"1,294",4.2,2084010,"2,406 reviews"
63,71,72,81,187,517,4.1,1452408,928 reviews
64,8,15,52,200,537,4.5,2179034,812 reviews
65,31,29,30,73,271,4.2,1833532,434 reviews
66,370,275,325,442,"1,246",3.7,1711100,"2,658 reviews"
67,104,97,146,312,884,4.2,1534692,"1,543 reviews"
68,31,41,92,306,592,4.3,2181550,"1,062 reviews"
69,76,88,99,218,556,4.1,1288448,"1,037 reviews"
70,5,5,5,3,30,4,2260818,48 reviews
71,85,115,101,205,585,4,1452853,"1,091 reviews"
72,107,158,198,548,"1,449",4.2,759779,"2,460 reviews"
73,259,272,322,735,"1,683",4,1574896,"3,271 reviews"
74,331,316,323,654,"1,869",4,1944446,"3,493 reviews"
75,15,30,67,135,258,4.2,2063402,505 reviews
76,110,113,180,470,"1,739",4.4,1588136,"2,612 reviews"
77,48,97,106,250,655,4.2,1587435,"1,156 reviews"
78,60,54,55,82,254,3.8,2197507,505 reviews
79,30,29,121,505,680,4.3,2107662,"1,365 reviews"
80,9,11,18,18,89,4.2,2116135,145 reviews
81,308,305,261,376,756,3.5,1852276,"2,006 reviews"
82,22,21,32,43,148,4,1999895,266 reviews
83,22,26,31,71,269,4.3,1964584,419 reviews
84,34,46,130,510,"1,045",4.4,1919281,"1,765 reviews"
85,225,185,169,392,"1,052",3.9,2244002,"2,023 reviews"
86,19,35,43,171,392,4.3,51904,660 reviews
87,44,45,52,105,334,4.1,1856335,580 reviews
88,82,88,96,192,483,4,2172955,941 reviews
89,116,142,143,306,"1,132",4.2,1621291,"1,839 reviews"
90,19,17,11,19,61,3.7,2137065,127 reviews
91,35,39,38,72,251,4.1,2037133,435 reviews
92,38,40,62,147,392,4.2,1868231,679 reviews
93,245,279,269,523,990,3.8,2166825,"2,306 reviews"
94,0,0,0,3,1,4.3,2266575,4 reviews
95,212,212,184,268,640,3.6,1487420,"1,516 reviews"
96,1,2,4,4,13,4.1,2179604,24 reviews
97,65,55,81,281,"1,098",4.5,999037,"1,580 reviews"
98,8,5,6,17,88,4.4,2183788,124 reviews
99,170,148,178,441,"1,251",4.1,1677616,"2,188 reviews"
100,80,86,71,152,348,3.8,1509512,737 reviews
101,18,23,35,68,160,4.1,1576859,304 reviews
102,40,43,55,137,780,4.5,1861426,"1,055 reviews"
103,5,11,5,30,172,4.6,1287481,223 reviews
104,68,55,69,144,332,3.9,1458496,668 reviews
105,89,103,116,313,652,4,1411172,"1,273 reviews"
106,6,7,9,21,74,4.3,2145340,117 reviews
