brand_name,category,imageAltText,isLimitedEdition,isNew,isOnlineOnly,isSephoraExclusive,listPrice,salePrice,skuId,skuType,valuePrice,review_count,target
FENTY BEAUTY by Rihanna,foundation-makeup,FENTY BEAUTY by Rihanna - Pro Filt'r Hydrating Longwear Foundation,False,True,True,True,35.0,0.0,2268274,Standard,,4,0
PAT McGRATH LABS,foundation-makeup,PAT McGRATH LABS - Skin Fetish: Sublime Perfection Foundation,False,True,False,True,68.0,0.0,2257111,Standard,,174,0
FENTY BEAUTY by Rihanna,foundation-makeup,FENTY BEAUTY by Rihanna - Pro Filt'r Soft Matte Longwear Foundation,False,False,False,True,35.0,0.0,2164671,Standard,,2849,0
MILK MAKEUP,foundation-makeup,MILK MAKEUP - Flex Foundation Stick,False,True,False,True,36.0,0.0,2242105,Standard,,71,0
Estée Lauder,foundation-makeup,Estée Lauder - Double Wear Stay-in-Place Foundation,False,False,False,False,43.0,0.0,2112167,Standard,,1072,0
Giorgio Armani Beauty,foundation-makeup,Giorgio Armani Beauty - Luminous Silk Foundation,False,False,False,False,64.0,0.0,2079168,Standard,,575,0
Laura Mercier,foundation-makeup,Laura Mercier - Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,False,True,False,True,47.0,0.0,2250603,Standard,,65,0
Smashbox,foundation-makeup,Smashbox - Studio Skin Full Coverage 24 Hour Foundation,False,True,False,True,36.0,0.0,2251874,Standard,,63,0
MAKE UP FOR EVER,foundation-makeup,MAKE UP FOR EVER - Ultra HD Invisible Cover Foundation,False,True,False,True,43.0,0.0,2246726,Standard,,1914,0
IT Cosmetics,foundation-makeup,IT Cosmetics - CC+ Cream with SPF 50+,False,False,False,False,39.0,0.0,1868165,Standard,,659,0
Yves Saint Laurent,foundation-makeup,Yves Saint Laurent - All Hours Longwear Natural Matte Foundation,False,True,False,False,54.0,0.0,2247922,Standard,,242,0
Giorgio Armani Beauty,foundation-makeup,Giorgio Armani Beauty - Power Fabric Longwear High Cover Foundation SPF 25,False,False,False,False,64.0,0.0,2184547,Standard,,143,0
bareMinerals,foundation-makeup,bareMinerals - Original Loose Powder Mineral Foundation Broad Spectrum SPF 15,False,False,False,False,31.0,0.0,1922541,Standard,,3883,0
Urban Decay,foundation-makeup,Urban Decay - Stay Naked Weightless Foundation,False,True,False,False,39.0,0.0,2247203,Standard,,127,0
MAKE UP FOR EVER,foundation-makeup,MAKE UP FOR EVER - Matte Velvet Skin Blurring Powder Foundation,False,False,False,True,38.0,0.0,2209906,Standard,,117,0
Lancôme,foundation-makeup,Lancôme - Teint Idole Ultra Long Wear Foundation,False,False,False,False,47.0,0.0,2169845,Standard,,911,0
Too Faced,foundation-makeup,Too Faced - Born This Way Foundation,False,False,False,False,39.0,0.0,2084648,Standard,,1684,0
Dior,foundation-makeup,Dior - Dior Airflash Spray Foundation,False,False,False,False,62.0,0.0,2224848,Standard,,729,0
NARS,foundation-makeup,NARS - Natural Radiant Longwear Foundation,False,False,False,False,49.0,0.0,2031011,Standard,,546,0
Dior,foundation-makeup,Dior - BACKSTAGE Face & Body Foundation,False,False,False,True,40.0,0.0,2070571,Standard,,337,0
tarte,foundation-makeup,tarte - Water Foundation Broad Spectrum SPF 15 - Sea Collection,False,False,False,True,39.0,0.0,2179158,Standard,,657,0
bareMinerals,foundation-makeup,bareMinerals - COMPLEXION RESCUE™ Tinted Moisturizer Broad Spectrum SPF 30,False,False,False,False,32.0,0.0,2176972,Standard,,624,0
Kat Von D,foundation-makeup,Kat Von D - Lock-It Foundation,False,False,False,True,36.0,0.0,2180578,Standard,,2803,0
Laura Mercier,foundation-makeup,Laura Mercier - Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free,False,False,False,False,46.0,0.0,905364,Standard,,1029,0
HUDA BEAUTY,foundation-makeup,HUDA BEAUTY - #FauxFilter Foundation,False,False,False,True,40.0,0.0,2001774,Standard,,562,0
tarte,foundation-makeup,tarte - Amazonian Clay Full Coverage Foundation SPF 15,False,False,False,False,39.0,0.0,2094787,Standard,,1287,0
bareMinerals,foundation-makeup,bareMinerals - BAREPRO Performance Wear Powder Foundation,False,False,False,False,31.0,0.0,2241883,Standard,,141,0
NARS,foundation-makeup,NARS - Sheer Glow Foundation,False,False,False,True,47.0,0.0,2170645,Standard,,935,0
NARS,foundation-makeup,NARS - Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,False,False,False,False,45.0,0.0,1396399,Standard,,547,0
Bobbi Brown,foundation-makeup,Bobbi Brown - Skin Long-Wear Weightless Foundation SPF 15,False,False,False,False,47.0,0.0,2032845,Standard,,93,0
bareMinerals,foundation-makeup,bareMinerals - Matte Loose Powder Mineral Foundation Broad Spectrum SPF 15,False,False,False,False,31.0,0.0,1922731,Standard,,1555,0
IT Cosmetics,foundation-makeup,IT Cosmetics - CC+ Cream Oil-Free Matte with SPF 40,False,False,False,True,39.0,0.0,2088276,Standard,,207,0
SEPHORA COLLECTION,foundation-makeup,SEPHORA COLLECTION - Matte Perfection Powder Foundation,False,False,False,True,20.0,0.0,1787589,Standard,,185,0
SEPHORA COLLECTION,foundation-makeup,SEPHORA COLLECTION - Perfection Mist Airbrush Foundation,False,False,False,True,28.0,0.0,1507367,Standard,,400,0
Laura Mercier,foundation-makeup,Laura Mercier - Smooth Finish Foundation Powder,False,False,False,False,48.0,0.0,1530534,Standard,,132,0
tarte,foundation-makeup,tarte - Custom Foundation Value Set – Sea Collection,True,True,False,True,39.0,0.0,2261865,Standard,$71.00,1,0
SEPHORA COLLECTION,foundation-makeup,SEPHORA COLLECTION - 10 HR Wear Perfection Foundation,False,True,False,True,20.0,0.0,2222099,Standard,,698,0
Too Faced,foundation-makeup,Too Faced - Peach Perfect Comfort Matte Foundation – Peaches and Cream Collection,False,False,False,False,36.0,0.0,2203396,Standard,,644,0
Laura Mercier,foundation-makeup,Laura Mercier - Tinted Moisturizer Illuminating Natural Skin Perfector Broad Spectrum SPF 30,False,True,False,True,47.0,0.0,2250280,Standard,,34,0
La Mer,foundation-makeup,La Mer - The Luminous Lifting Cushion Foundation SPF 20 + Refill,False,False,False,False,120.0,0.0,2132231,Standard,,7,0
MAKE UP FOR EVER,foundation-makeup,MAKE UP FOR EVER - Matte Velvet Skin Full Coverage Foundation,False,False,False,True,38.0,0.0,2106441,Standard,,188,0
Supergoop!,foundation-makeup,Supergoop! - CC Cream Daily Correct Broad Spectrum SPF 35 Sunscreen,False,False,False,False,34.0,0.0,1628767,Standard,,123,0
Bobbi Brown,foundation-makeup,Bobbi Brown - Prep & Perfect Skin Long Wear Customizable Set,True,False,True,False,69.0,0.0,2239358,Standard,$106.00,3,0
Dior,foundation-makeup,Dior - Dior Forever 24h* Wear High Perfection Skin-Caring Matte Foundation,False,False,False,False,52.0,0.0,2178630,Standard,,180,0
MAKE UP FOR EVER,foundation-makeup,MAKE UP FOR EVER - Ultra HD Invisible Cover Stick Foundation,False,False,False,True,43.0,0.0,1713155,Standard,,508,0
tarte,foundation-makeup,tarte - BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,False,False,False,False,37.0,0.0,1486752,Standard,,669,0
Dr. Jart+,foundation-makeup,Dr. Jart+ - Premium Beauty Balm SPF 45,False,False,False,False,39.0,0.0,1327915,Standard,,549,0
COVER FX,foundation-makeup,COVER FX - Power Play Foundation,False,False,False,True,44.0,0.0,2053874,Standard,,286,0
Hourglass,foundation-makeup,Hourglass - Vanish™ Seamless Finish Foundation Stick,False,False,False,False,46.0,0.0,1827252,Standard,,1203,0
IT Cosmetics,foundation-makeup,IT Cosmetics - CC+ Cream Illumination with SPF 50+,False,False,False,False,39.0,0.0,1869015,Standard,,110,0
Smashbox,foundation-makeup,Smashbox - Studio Skin 15 Hour Hydrating Foundation,False,False,False,False,36.0,0.0,2105427,Standard,,563,0
bareMinerals,foundation-makeup,bareMinerals - BarePRO™ Performance Wear Liquid Foundation Broad Spectrum SPF 20,False,False,False,False,34.0,0.0,2241719,Standard,,433,0
Lancôme,foundation-makeup,Lancôme - DUAL FINISH – Multi-tasking Longwear Powder Foundation,False,False,False,False,40.0,0.0,135558,Standard,,220,0
Yves Saint Laurent,foundation-makeup,Yves Saint Laurent - Touche Eclat Le Teint Radiance Awakening Foundation,False,False,False,False,54.0,0.0,2209393,Standard,,120,0
CLINIQUE,foundation-makeup,CLINIQUE - Stay-Matte Sheer Pressed Powder,False,False,False,False,28.5,0.0,51573,Standard,,266,0
KOSAS,foundation-makeup,KOSAS - Tinted Face Oil Foundation,False,False,False,False,42.0,0.0,2250785,Standard,,75,0
Urban Decay,foundation-makeup,Urban Decay - All Nighter Liquid Foundation,False,False,False,False,40.0,0.0,1847474,Standard,,697,0
