1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,product_id,review_count,total_ratings,target
0,0,0,5,11,4.7,2268274,16,16,0
28,35,57,212,548,4.4,2257111,880,880,0
1139,1279,1324,2149,8379,4.1,2164671,14270,14270,0
1,10,23,115,214,4.5,2242105,363,363,0
213,258,299,837,3758,4.4,2112167,5365,5365,0
136,194,231,473,1845,4.3,2079168,2879,2879,0
3,8,19,93,212,4.5,2250603,335,335,0
14,11,20,74,203,4.4,2251874,322,322,0
940,791,935,2135,4771,3.9,2246726,9572,9572,0
266,324,319,608,1779,4.0,1868165,3296,3296,0
66,72,96,231,742,4.3,2247922,1207,1207,0
44,55,67,158,387,4.1,2184547,711,711,0
514,461,695,2735,15008,4.6,1922541,19413,19413,0
5,17,39,183,397,4.5,2247203,641,641,0
31,24,49,153,349,4.3,2209906,606,606,0
186,222,295,786,3068,4.4,2169845,4557,4557,0
801,925,990,1622,4090,3.9,2084648,8428,8428,0
151,174,227,628,2463,4.4,2224848,3643,3643,0
379,382,297,429,1252,3.7,2031011,2739,2739,0
66,73,144,378,1029,4.3,2070571,1690,1690,0
286,350,373,650,1625,3.9,2179158,3284,3284,0
283,277,309,616,1633,4.0,2176972,3118,3118,0
1304,1316,1513,2747,7136,3.9,2180578,14016,14016,0
199,261,356,1197,3130,4.3,905364,5143,5143,0
397,392,320,448,1261,3.6,2001774,2818,2818,0
506,572,611,1259,3486,4.0,2094787,6434,6434,0
57,54,63,127,405,4.1,2241883,706,706,0
231,264,390,1080,2713,4.2,2170645,4678,4678,0
94,139,179,495,1826,4.4,1396399,2733,2733,0
49,42,65,73,232,3.9,2032845,461,461,0
310,345,510,1513,5095,4.4,1922731,7773,7773,0
82,113,116,260,464,3.9,2088276,1035,1035,0
47,56,88,192,547,4.2,1787589,930,930,0
90,80,118,439,1273,4.4,1507367,2000,2000,0
45,40,39,117,419,4.3,1530534,660,660,0
279,275,373,824,1754,4.0,2222099,3505,3505,0
153,176,239,613,2043,4.3,2203396,3224,3224,0
1,3,7,53,109,4.5,2250280,173,173,0
4,3,4,4,19,3.9,2132231,34,34,0
177,85,86,192,398,3.6,2106441,938,938,0
26,38,46,103,401,4.3,1628767,614,614,0
0,1,0,2,10,4.6,2239358,13,13,0
19,29,75,255,518,4.4,2178630,896,896,0
196,220,264,484,1374,4.0,1713155,2538,2538,0
168,232,248,586,2107,4.3,1486752,3341,3341,0
146,167,241,534,1655,4.2,1327915,2743,2743,0
93,95,164,310,769,4.1,2053874,1431,1431,0
455,440,593,1496,3029,4.0,1827252,6013,6013,0
67,54,70,95,265,3.8,1869015,551,551,0
185,186,202,524,1720,4.2,2105427,2817,2817,0
101,108,160,544,1253,4.3,2241719,2166,2166,0
61,53,66,184,734,4.3,135558,1098,1098,0
93,56,62,71,317,3.8,2209393,599,599,0
51,48,95,318,816,4.4,51573,1328,1328,0
48,44,42,44,197,3.8,2250785,375,375,0
651,526,407,573,1327,3.4,1847474,3484,3484,0
81,85,114,196,573,4.0,1496488,1049,1049,0
54,57,138,343,439,4.0,2179869,1031,1031,0
666,608,484,747,1718,3.5,1677962,4223,4223,0
130,146,201,457,1008,4.1,2110070,1942,1942,0
41,50,83,296,796,4.4,1372168,1266,1266,0
35,31,22,32,110,3.7,2227619,230,230,0
115,130,249,618,1294,4.2,2084010,2406,2406,0
71,72,81,187,517,4.1,1452408,928,928,0
8,15,52,200,537,4.5,2179034,812,812,0
31,29,30,73,271,4.2,1833532,434,434,0
370,275,325,442,1246,3.7,1711100,2658,2658,0
104,97,146,312,884,4.2,1534692,1543,1543,0
31,41,92,306,592,4.3,2181550,1062,1062,0
76,88,99,218,556,4.1,1288448,1037,1037,0
5,5,5,3,30,4.0,2260818,48,48,0
85,115,101,205,585,4.0,1452853,1091,1091,0
107,158,198,548,1449,4.2,759779,2460,2460,0
259,272,322,735,1683,4.0,1574896,3271,3271,0
331,316,323,654,1869,4.0,1944446,3493,3493,0
15,30,67,135,258,4.2,2063402,505,505,0
110,113,180,470,1739,4.4,1588136,2612,2612,0
48,97,106,250,655,4.2,1587435,1156,1156,0
60,54,55,82,254,3.8,2197507,505,505,0
30,29,121,505,680,4.3,2107662,1365,1365,0
9,11,18,18,89,4.2,2116135,145,145,0
308,305,261,376,756,3.5,1852276,2006,2006,0
22,21,32,43,148,4.0,1999895,266,266,0
22,26,31,71,269,4.3,1964584,419,419,0
34,46,130,510,1045,4.4,1919281,1765,1765,0
225,185,169,392,1052,3.9,2244002,2023,2023,0
19,35,43,171,392,4.3,51904,660,660,0
44,45,52,105,334,4.1,1856335,580,580,0
82,88,96,192,483,4.0,2172955,941,941,0
116,142,143,306,1132,4.2,1621291,1839,1839,0
19,17,11,19,61,3.7,2137065,127,127,0
35,39,38,72,251,4.1,2037133,435,435,0
38,40,62,147,392,4.2,1868231,679,679,0
245,279,269,523,990,3.8,2166825,2306,2306,0
0,0,0,3,1,4.3,2266575,4,4,0
212,212,184,268,640,3.6,1487420,1516,1516,0
1,2,4,4,13,4.1,2179604,24,24,0
65,55,81,281,1098,4.5,999037,1580,1580,0
8,5,6,17,88,4.4,2183788,124,124,0
170,148,178,441,1251,4.1,1677616,2188,2188,0
80,86,71,152,348,3.8,1509512,737,737,0
18,23,35,68,160,4.1,1576859,304,304,0
40,43,55,137,780,4.5,1861426,1055,1055,0
5,11,5,30,172,4.6,1287481,223,223,0
68,55,69,144,332,3.9,1458496,668,668,0
89,103,116,313,652,4.0,1411172,1273,1273,0
6,7,9,21,74,4.3,2145340,117,117,0
8,11,17,24,114,4.3,1755453,174,174,0
16,22,46,116,298,4.3,2038701,498,498,0
40,87,99,192,505,4.1,1814508,923,923,0
204,157,144,253,774,3.8,1795897,1532,1532,0
8,8,5,10,37,3.9,2193936,68,68,0
97,108,99,241,531,3.9,1497007,1076,1076,0
61,98,135,398,793,4.2,1237213,1485,1485,0
23,55,171,539,907,4.3,2176774,1695,1695,0
8,16,12,30,57,3.9,1646215,123,123,0
65,74,152,321,879,4.3,2211902,1491,1491,0
4,2,2,3,11,3.7,2272292,22,22,0
44,38,38,75,206,3.9,2110146,401,401,0
12,15,19,41,191,4.4,1705839,278,278,0
49,53,87,118,267,3.9,1840362,574,574,0
183,172,243,507,800,3.8,2118032,1905,1905,0
4,0,5,3,24,4.2,1682509,36,36,0
99,93,99,194,658,4.1,1064864,1143,1143,0
5,12,18,29,139,4.4,1726447,203,203,0
18,19,21,34,125,4.1,2097020,217,217,0
5,7,8,10,42,4.1,2082659,72,72,0
2,4,6,6,17,3.9,1958859,35,35,0
41,45,55,128,372,4.2,1677160,641,641,0
40,30,12,20,67,3.3,2124808,169,169,0
38,43,104,236,480,4.2,52852,901,901,0
20,39,104,318,658,4.4,2045201,1139,1139,0
19,17,17,29,90,3.9,1819549,172,172,0
1,3,0,3,16,4.3,1957570,23,23,0
4,2,4,6,12,3.7,2254175,28,28,0
17,25,22,41,125,4.0,1667005,230,230,0
126,156,278,585,873,4.0,2035764,2018,2018,0
26,19,30,55,164,4.1,2086502,294,294,0
6,14,13,28,130,4.4,1441526,191,191,0
19,16,22,37,159,4.2,2186237,253,253,0
34,51,63,121,288,4.0,1887447,557,557,0
14,14,19,29,86,4.0,1970342,162,162,0
1,0,0,1,6,4.4,2252351,8,8,0
118,126,137,211,380,3.6,1783653,972,972,0
12,13,15,40,168,4.4,1784867,248,248,0
137,115,95,166,283,3.4,2174506,796,796,0
3,10,12,14,64,4.2,1938802,103,103,0
14,17,41,79,141,4.1,2047298,292,292,0
1,0,0,0,2,3.7,2187573,3,3,0
16,38,44,76,93,3.7,2079416,267,267,0
1,8,5,24,65,4.4,1953389,103,103,0
4,3,0,4,3,2.9,2254290,14,14,0
26,28,23,30,84,3.6,2079804,191,191,0
25,34,22,48,98,3.7,1968981,227,227,0
184,139,171,321,966,4.0,1820943,1781,1781,0
79,82,66,134,254,3.7,1952746,615,615,0
16,9,11,28,119,4.2,1869734,183,183,0
0,3,2,2,6,3.8,2219673,13,13,0
2,0,0,4,16,4.5,2145381,22,22,0
3,2,3,7,16,4.0,2212777,31,31,0
36,30,31,52,137,3.8,2089035,286,286,0
0,1,0,3,4,4.3,2240232,8,8,0
4,7,1,2,19,3.8,1990316,33,33,0
79,56,56,122,289,3.8,1514108,602,602,0
2,4,1,9,7,3.7,2021194,23,23,0
6,2,0,3,6,3.1,2106201,17,17,0
12,15,16,34,83,4.0,1898485,160,160,0
4,5,21,79,150,4.4,2107282,259,259,0
17,14,15,18,75,3.9,2014785,139,139,0
17,9,32,49,167,4.2,1775287,274,274,0
2,4,4,5,7,3.5,2119345,22,22,0
1,1,1,2,8,4.2,2256758,13,13,0
4,5,2,11,27,4.1,1967199,49,49,0
5,5,5,19,40,4.1,1686781,74,74,0
10,10,14,14,32,3.6,2168409,80,80,0
10,8,7,13,67,4.1,1813963,105,105,1
575,411,347,489,1032,3.3,1576727,2854,2854,0
1,2,2,4,7,3.9,2221554,16,16,0
19,13,18,46,81,3.9,1841600,177,177,0
3,2,1,7,32,4.4,1480912,45,45,0
5,7,10,21,42,4.0,2154854,85,85,0
2,0,0,0,6,4.0,2198711,8,8,0
4,8,4,9,24,3.8,1809235,49,49,0
3,0,4,5,17,4.1,2143675,29,29,0
60,34,28,45,116,3.4,1548700,283,283,0
4,6,13,30,108,4.4,1326305,161,161,0
16,9,7,6,32,3.4,1977255,70,70,0
4,0,1,1,12,3.9,2206753,18,18,0
226,196,193,339,773,3.7,1393875,1727,1727,0
6,0,2,12,22,4.0,1752443,42,42,1
9,6,12,31,82,4.2,763904,140,140,0
5,3,3,5,16,3.8,1978311,32,32,0
2,2,6,4,9,3.7,1950328,23,23,0
7,6,7,10,51,4.1,1752302,81,81,1
2,11,7,19,58,4.2,1509348,97,97,0
3,4,6,3,8,3.4,2016269,24,24,0
5,2,4,3,27,4.1,1734094,41,41,0
80,124,146,311,825,4.1,1422617,1486,1486,0
58,57,52,82,204,3.7,1773779,453,453,0
0,0,0,1,1,4.5,2205631,2,2,0
109,151,224,673,1850,4.3,1311836,3007,3007,0
0,0,0,0,4,5.0,2215036,4,4,0
