,brand_name,category,imageAltText,isLimitedEdition,isNew,isOnlineOnly,isSephoraExclusive,listPrice,salePrice,skuId,skuType,valuePrice,target_x,1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,review_count_y,total_ratings,compound_score,compound
0,FENTY BEAUTY by Rihanna,foundation-makeup,FENTY BEAUTY by Rihanna - Pro Filt'r Hydrating Longwear Foundation,False,True,True,True,35.0,0.0,2268274,Standard,,0,0.0,0.0,0.0,5.0,11.0,4.7,16.0,16.0,,0.8607333333333334
1,PAT McGRATH LABS,foundation-makeup,PAT McGRATH LABS - Skin Fetish: Sublime Perfection Foundation,False,True,False,True,68.0,0.0,2257111,Standard,,0,28.0,35.0,57.0,212.0,548.0,4.4,880.0,880.0,,0.7674959999999998
2,FENTY BEAUTY by Rihanna,foundation-makeup,FENTY BEAUTY by Rihanna - Pro Filt'r Soft Matte Longwear Foundation,False,False,False,True,35.0,0.0,2164671,Standard,,0,1139.0,1279.0,1324.0,2149.0,8379.0,4.1,14270.0,14270.0,,0.6168399999999999
3,MILK MAKEUP,foundation-makeup,MILK MAKEUP - Flex Foundation Stick,False,True,False,True,36.0,0.0,2242105,Standard,,0,1.0,10.0,23.0,115.0,214.0,4.5,363.0,363.0,,0.7754119999999998
4,Estée Lauder,foundation-makeup,Estée Lauder - Double Wear Stay-in-Place Foundation,False,False,False,False,43.0,0.0,2112167,Standard,,0,213.0,258.0,299.0,837.0,3758.0,4.4,5365.0,5365.0,0.012697789867392045,0.782008
5,Giorgio Armani Beauty,foundation-makeup,Giorgio Armani Beauty - Luminous Silk Foundation,False,False,False,False,64.0,0.0,2079168,Standard,,0,136.0,194.0,231.0,473.0,1845.0,4.3,2879.0,2879.0,0.02085837563451777,0.688168
6,Laura Mercier,foundation-makeup,Laura Mercier - Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,False,True,False,True,47.0,0.0,2250603,Standard,,0,3.0,8.0,19.0,93.0,212.0,4.5,335.0,335.0,,0.804212
8,Smashbox,foundation-makeup,Smashbox - Studio Skin Full Coverage 24 Hour Foundation,False,True,False,True,36.0,0.0,2251874,Standard,,0,14.0,11.0,20.0,74.0,203.0,4.4,322.0,322.0,,0.6037520000000001
9,MAKE UP FOR EVER,foundation-makeup,MAKE UP FOR EVER - Ultra HD Invisible Cover Foundation,False,True,False,True,43.0,0.0,2246726,Standard,,0,940.0,791.0,935.0,2135.0,4771.0,3.9,9572.0,9572.0,0.013862080129502227,0.49105599999999994
10,IT Cosmetics,foundation-makeup,IT Cosmetics - CC+ Cream with SPF 50+,False,False,False,False,39.0,0.0,1868165,Standard,,0,266.0,324.0,319.0,608.0,1779.0,4.0,3296.0,3296.0,0.15941136363636363,0.4545799999999998
13,Yves Saint Laurent,foundation-makeup,Yves Saint Laurent - All Hours Longwear Natural Matte Foundation,False,True,False,False,54.0,0.0,2247922,Standard,,0,66.0,72.0,96.0,231.0,742.0,4.3,1207.0,1207.0,0.007678195488721805,0.7056120000000001
14,Giorgio Armani Beauty,foundation-makeup,Giorgio Armani Beauty - Power Fabric Longwear High Cover Foundation SPF 25,False,False,False,False,64.0,0.0,2184547,Standard,,0,44.0,55.0,67.0,158.0,387.0,4.1,711.0,711.0,0.013125000000000001,0.48465600000000003
15,bareMinerals,foundation-makeup,bareMinerals - Original Loose Powder Mineral Foundation Broad Spectrum SPF 15,False,False,False,False,31.0,0.0,1922541,Standard,,0,514.0,461.0,695.0,2735.0,15008.0,4.6,19413.0,19413.0,0.14915928320911878,0.5444119999999999
16,Urban Decay,foundation-makeup,Urban Decay - Stay Naked Weightless Foundation,False,True,False,False,39.0,0.0,2247203,Standard,,0,5.0,17.0,39.0,183.0,397.0,4.5,641.0,641.0,,0.835204
17,MAKE UP FOR EVER,foundation-makeup,MAKE UP FOR EVER - Matte Velvet Skin Blurring Powder Foundation,False,False,False,True,38.0,0.0,2209906,Standard,,0,31.0,24.0,49.0,153.0,349.0,4.3,606.0,606.0,,0.6933239999999999
18,Lancôme,foundation-makeup,Lancôme - Teint Idole Ultra Long Wear Foundation,False,False,False,False,47.0,0.0,2169845,Standard,,0,186.0,222.0,295.0,786.0,3068.0,4.4,4557.0,4557.0,0.014224156464616305,0.789204
19,Too Faced,foundation-makeup,Too Faced - Born This Way Foundation,False,False,False,False,39.0,0.0,2084648,Standard,,0,801.0,925.0,990.0,1622.0,4090.0,3.9,8428.0,8428.0,0.019436794048021643,0.5812160000000002
20,Dior,foundation-makeup,Dior - Dior Airflash Spray Foundation,False,False,False,False,62.0,0.0,2224848,Standard,,0,151.0,174.0,227.0,628.0,2463.0,4.4,3643.0,3643.0,0.056484532529082296,0.608136
21,NARS,foundation-makeup,NARS - Natural Radiant Longwear Foundation,False,False,False,False,49.0,0.0,2031011,Standard,,0,379.0,382.0,297.0,429.0,1252.0,3.7,2739.0,2739.0,,0.49066000000000004
22,Dior,foundation-makeup,Dior - BACKSTAGE Face & Body Foundation,False,False,False,True,40.0,0.0,2070571,Standard,,0,66.0,73.0,144.0,378.0,1029.0,4.3,1690.0,1690.0,,0.7318920000000001
23,tarte,foundation-makeup,tarte - Water Foundation Broad Spectrum SPF 15 - Sea Collection,False,False,False,True,39.0,0.0,2179158,Standard,,0,286.0,350.0,373.0,650.0,1625.0,3.9,3284.0,3284.0,0.008427141482194419,0.7696839999999999
24,bareMinerals,foundation-makeup,bareMinerals - COMPLEXION RESCUE™ Tinted Moisturizer Broad Spectrum SPF 30,False,False,False,False,32.0,0.0,2176972,Standard,,0,283.0,277.0,309.0,616.0,1633.0,4.0,3118.0,3118.0,0.08305732574679944,0.7100439999999999
27,Kat Von D,foundation-makeup,Kat Von D - Lock-It Foundation,False,False,False,True,36.0,0.0,2180578,Standard,,0,1304.0,1316.0,1513.0,2747.0,7136.0,3.9,14016.0,14016.0,0.01032813462635482,0.462992
28,Laura Mercier,foundation-makeup,Laura Mercier - Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free,False,False,False,False,46.0,0.0,905364,Standard,,0,199.0,261.0,356.0,1197.0,3130.0,4.3,5143.0,5143.0,0.007341930928232123,0.743296
30,HUDA BEAUTY,foundation-makeup,HUDA BEAUTY - #FauxFilter Foundation,False,False,False,True,40.0,0.0,2001774,Standard,,0,397.0,392.0,320.0,448.0,1261.0,3.6,2818.0,2818.0,,0.612216
31,tarte,foundation-makeup,tarte - Amazonian Clay Full Coverage Foundation SPF 15,False,False,False,False,39.0,0.0,2094787,Standard,,0,506.0,572.0,611.0,1259.0,3486.0,4.0,6434.0,6434.0,0.015489347906632086,0.747932
32,bareMinerals,foundation-makeup,bareMinerals - BAREPRO Performance Wear Powder Foundation,False,False,False,False,31.0,0.0,2241883,Standard,,0,57.0,54.0,63.0,127.0,405.0,4.1,706.0,706.0,0.015139560439560442,0.7585480000000001
33,NARS,foundation-makeup,NARS - Sheer Glow Foundation,False,False,False,True,47.0,0.0,2170645,Standard,,0,231.0,264.0,390.0,1080.0,2713.0,4.2,4678.0,4678.0,0.03172833078101073,0.8445119999999998
34,NARS,foundation-makeup,NARS - Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,False,False,False,False,45.0,0.0,1396399,Standard,,0,94.0,139.0,179.0,495.0,1826.0,4.4,2733.0,2733.0,0.014121207743426756,0.673564
36,Bobbi Brown,foundation-makeup,Bobbi Brown - Skin Long-Wear Weightless Foundation SPF 15,False,False,False,False,47.0,0.0,2032845,Standard,,0,49.0,42.0,65.0,73.0,232.0,3.9,461.0,461.0,,0.774996
37,bareMinerals,foundation-makeup,bareMinerals - Matte Loose Powder Mineral Foundation Broad Spectrum SPF 15,False,False,False,False,31.0,0.0,1922731,Standard,,0,310.0,345.0,510.0,1513.0,5095.0,4.4,7773.0,7773.0,0.13640174817437486,0.7636439999999999
38,IT Cosmetics,foundation-makeup,IT Cosmetics - CC+ Cream Oil-Free Matte with SPF 40,False,False,False,True,39.0,0.0,2088276,Standard,,0,82.0,113.0,116.0,260.0,464.0,3.9,1035.0,1035.0,,0.7397880000000001
40,SEPHORA COLLECTION,foundation-makeup,SEPHORA COLLECTION - Matte Perfection Powder Foundation,False,False,False,True,20.0,0.0,1787589,Standard,,0,47.0,56.0,88.0,192.0,547.0,4.2,930.0,930.0,0.021827678571428567,0.5997039999999999
41,SEPHORA COLLECTION,foundation-makeup,SEPHORA COLLECTION - Perfection Mist Airbrush Foundation,False,False,False,True,28.0,0.0,1507367,Standard,,0,90.0,80.0,118.0,439.0,1273.0,4.4,2000.0,2000.0,0.01825285149632976,0.6617400000000002
42,Laura Mercier,foundation-makeup,Laura Mercier - Smooth Finish Foundation Powder,False,False,False,False,48.0,0.0,1530534,Standard,,0,45.0,40.0,39.0,117.0,419.0,4.3,660.0,660.0,0.006131873111782479,0.6452600000000001
43,tarte,foundation-makeup,tarte - Custom Foundation Value Set – Sea Collection,True,True,False,True,39.0,0.0,2261865,Standard,$71.00,0,,,,,,,,,,
44,SEPHORA COLLECTION,foundation-makeup,SEPHORA COLLECTION - 10 HR Wear Perfection Foundation,False,True,False,True,20.0,0.0,2222099,Standard,,0,279.0,275.0,373.0,824.0,1754.0,4.0,3505.0,3505.0,0.012032192846034212,0.6263999999999998
45,Too Faced,foundation-makeup,Too Faced - Peach Perfect Comfort Matte Foundation – Peaches and Cream Collection,False,False,False,False,36.0,0.0,2203396,Standard,,0,153.0,176.0,239.0,613.0,2043.0,4.3,3224.0,3224.0,,0.625088
46,Laura Mercier,foundation-makeup,Laura Mercier - Tinted Moisturizer Illuminating Natural Skin Perfector Broad Spectrum SPF 30,False,True,False,True,47.0,0.0,2250280,Standard,,0,1.0,3.0,7.0,53.0,109.0,4.5,173.0,173.0,,0.8914920000000001
48,La Mer,foundation-makeup,La Mer - The Luminous Lifting Cushion Foundation SPF 20 + Refill,False,False,False,False,120.0,0.0,2132231,Standard,,0,4.0,3.0,4.0,4.0,19.0,3.9,34.0,34.0,,0.6817360000000001
